Bacillus.cereus	Salmonella.enterica	Enterococcus.faecalis	Listeria.monocytogenes	Staphylococcus.aureus	Staphylococcus.epidermidis
36	0	0	0	0	0
33	0	0	0	0	0
138	39	54	81	135	0
195	75	129	72	60	36
87	45	0	96	69	0
147	0	33	0	66	0
75	0	66	51	0	0
135	36	60	54	66	0
90	66	66	90	69	0
114	36	72	75	96	0
141	33	33	39	51	0
81	0	0	30	48	0
171	45	51	93	75	0
96	33	42	60	0	0
114	87	48	144	45	0
165	60	60	87	63	0
126	36	66	81	0	0
1176	330	288	486	393	126
1743	447	702	453	546	177
2688	666	1104	1242	948	258
1320	390	570	513	357	150
1377	426	531	663	426	117
1887	546	777	717	624	138
1962	495	939	774	858	156
1359	651	840	480	396	186
2055	999	1218	963	882	201
1872	1131	903	1386	669	141
1206	1053	429	663	396	0
1251	522	441	744	414	84
1317	438	501	936	474	81
1800	1107	624	1353	696	117
1632	732	576	1032	609	210
10611	5955	4530	3012	3060	1086
10950	4287	4134	2598	3345	786
10623	6111	4728	2148	2865	909
11550	7488	3405	3702	2628	690
9516	5706	3297	3129	2175	672
10437	5817	2289	2847	3075	618
10029	4872	3444	3348	2550	624
10968	4896	3435	2433	3417	678
11853	8982	4491	2868	2811	561
10224	5625	3354	3516	1878	585
9618	3042	3093	3531	2691	606
9720	4482	3264	2226	3465	534
14028	5211	4467	4215	1833	843
11130	7701	3411	4224	3453	648
8370	3807	2583	3681	2286	759
18102	15927	5310	3366	3063	1203
17874	10110	5688	3561	3585	1278
18153	14361	6075	4776	3465	1179
20865	13290	5409	4701	3252	1317
14316	9036	4335	3462	3183	804
20226	14220	5394	7995	3018	1083
17124	10830	5151	7452	2709	1266
18657	12498	5295	6663	2265	1101
14022	7872	3648	4668	1569	684
14397	11403	4959	4518	1548	816
18630	11397	4815	8679	2268	879
17133	9546	3606	7431	1881	840
18684	9882	5019	6432	3639	1026
17877	9471	5502	7293	2076	975
19473	10854	5775	10380	375	990
