sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor
190616360796.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360797.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360798.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360799.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360800.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360801.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360802.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360803.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360804.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360805.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360806.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360807.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360808.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360809.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
190616360810.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66
