sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor	seq_depth	lib_size_raw	lib_size
190616360808.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2048	3103.030303030303
190616360809.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1740	2636.363636363636
190616360810.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1844	2793.939393939394
190616360811.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3400	5151.515151515151
190616360812.1.1.2	T30	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2565	3886.363636363636
190616360813.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	15411	23350
190616360814.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	13780	20878.78787878788
190616360815.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	14805	22431.81818181818
190616360816.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	20105	30462.121212121212
190616360817.1.1.2	T0	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16640	25212.121212121212
190616360818.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	17224	26096.969696969696
190616360819.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	15616	23660.60606060606
190616360820.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	17952	27199.999999999996
190616360821.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	21887	33162.12121212121
190616360822.1.1.2	T7	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16732	25351.515151515152
190616360823.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	15541	23546.969696969696
190616360824.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	15806	23948.484848484848
190616360825.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	21000	31818.181818181816
190616360826.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	20692	31351.515151515152
190616360827.1.1.2	T30	20000	20000	2000	20000	2000	20000	84000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	14985	22704.545454545452
190616360828.1.1.2	T0	200000	200000	20000	200000	20000	200000	840000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	30801	46668.181818181816
190616360829.1.1.2	T0	200000	200000	20000	200000	20000	200000	840000	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	28457	43116.666666666664
